Board Number,Board Name,Elementary Male,Elementary Female,Secondary Male,Secondary Female,Total Male,Total Female
B28010,Algoma DSB," 3,485 "," 3,175 "," 1,700 "," 1,560 "," 5,185 "," 4,735 "
B67202,Algonquin and Lakeshore CDSB," 4,070 "," 3,915 "," 1,955 "," 1,975 "," 6,025 "," 5,890 "
B66010,Avon Maitland DSB," 5,220 "," 5,025 "," 2,680 "," 2,525 "," 7,905 "," 7,550 "
B66001,Bluewater DSB," 6,355 "," 6,140 "," 2,340 "," 2,130 "," 8,695 "," 8,265 "
B67164,Brant Haldimand Norfolk CDSB," 3,460 "," 3,400 "," 1,895 "," 1,810 "," 5,350 "," 5,210 "
B67008,Bruce-Grey CDSB," 1,515 "," 1,465 ", 850 , 810 ," 2,365 "," 2,275 "
B67172,CDSB of Eastern Ontario," 4,670 "," 4,545 "," 2,000 "," 1,945 "," 6,670 "," 6,490 "
B66303,CS Viamonde," 5,275 "," 5,525 "," 1,045 "," 1,150 "," 6,325 "," 6,675 "
B67318,CS catholique MonAvenir," 6,540 "," 7,155 "," 1,670 "," 1,885 "," 8,210 "," 9,040 "
B28118,CS public du Grand Nord de l'Ontario," 1,000 ", 980 , 360 , 300 ," 1,360 "," 1,275 "
B28100,CSD du Nord-Est de l'Ontario, 880 , 905 , 185 , 195 ," 1,060 "," 1,100 "
B29114,CSDC Franco-Nord, 975 , 980 , 355 , 415 ," 1,330 "," 1,395 "
B67326,CSDC de l'Est ontarien," 3,795 "," 3,835 "," 1,330 "," 1,295 "," 5,125 "," 5,125 "
B29130,CSDC des Aurores bor¨¦ales, 345 , 375 , 70 , 65 , 415 , 440 
B29106,CSDC des Grandes Rivi¨¨res," 2,020 "," 2,075 ", 765 , 865 ," 2,785 "," 2,940 "
B67334,CSDC du Centre-Est de l'Ontario," 9,550 "," 9,880 "," 2,960 "," 3,070 "," 12,510 "," 12,950 "
B29122,CSDC du Nouvel-Ontario," 2,400 "," 2,495 ", 795 , 865 ," 3,195 "," 3,360 "
B67300,Conseil scolaire catholique Providence," 3,890 "," 4,205 ", 950 ," 1,085 "," 4,840 "," 5,285 "
B66311,C?P de l'Est de l'Ontario," 6,315 "," 6,465 "," 1,910 "," 2,110 "," 8,225 "," 8,570 "
B66150,DSB Niagara," 13,525 "," 12,610 "," 6,260 "," 5,790 "," 19,785 "," 18,405 "
B28002,DSB Ontario North East," 2,185 "," 2,030 "," 1,295 "," 1,090 "," 3,480 "," 3,120 "
B67083,Dufferin-Peel CDSB," 24,500 "," 23,590 "," 15,755 "," 15,115 "," 40,255 "," 38,710 "
B67105,Durham CDSB," 7,735 "," 7,335 "," 3,330 "," 3,260 "," 11,065 "," 10,595 "
B66060,Durham DSB," 25,955 "," 24,890 "," 11,095 "," 10,270 "," 37,050 "," 35,160 "
B66168,Grand Erie DSB," 9,315 "," 9,015 "," 4,355 "," 3,880 "," 13,670 "," 12,895 "
B66028,Greater Essex County DSB," 12,925 "," 12,085 "," 6,200 "," 5,610 "," 19,125 "," 17,695 "
B67113,Halton CDSB," 12,185 "," 11,380 "," 6,935 "," 6,335 "," 19,120 "," 17,715 "
B66133,Halton DSB," 23,520 "," 22,565 "," 10,440 "," 9,635 "," 33,960 "," 32,205 "
